illustrative_family,point_index,plotting_x,plotting_y
linear,1,1,0.33000000000000002
linear,2,2.4950000000000001,0.33240000000000003
linear,3,3.9900000000000002,0.33480000000000004
linear,4,5.4850000000000003,0.3372
linear,5,6.9800000000000004,0.33960000000000001
linear,6,8.4750000000000014,0.34200000000000003
linear,7,9.9700000000000006,0.34440000000000004
linear,8,11.465,0.3468
linear,9,12.960000000000001,0.34920000000000001
linear,10,14.455000000000002,0.35160000000000002
linear,11,15.950000000000001,0.35400000000000004
linear,12,17.445,0.35639999999999999
linear,13,18.940000000000001,0.35880000000000001
linear,14,20.435000000000002,0.36120000000000002
linear,15,21.93,0.36360000000000003
linear,16,23.425000000000001,0.36599999999999999
linear,17,24.920000000000002,0.36840000000000001
linear,18,26.415000000000003,0.37080000000000002
linear,19,27.910000000000004,0.37320000000000003
linear,20,29.405000000000001,0.37560000000000004
linear,21,30.900000000000002,0.378
linear,22,32.395000000000003,0.38040000000000002
linear,23,33.890000000000001,0.38280000000000003
linear,24,35.385000000000005,0.38520000000000004
linear,25,36.880000000000003,0.3876
linear,26,38.375,0.39000000000000001
linear,27,39.870000000000005,0.39240000000000003
linear,28,41.365000000000002,0.39480000000000004
linear,29,42.859999999999999,0.3972
linear,30,44.355000000000004,0.39960000000000001
linear,31,45.850000000000001,0.40200000000000002
linear,32,47.345000000000006,0.40440000000000004
linear,33,48.840000000000003,0.40679999999999999
linear,34,50.335000000000001,0.40920000000000001
linear,35,51.830000000000005,0.41160000000000002
linear,36,53.325000000000003,0.41400000000000003
linear,37,54.820000000000007,0.41639999999999999
linear,38,56.315000000000005,0.41880000000000001
linear,39,57.810000000000002,0.42120000000000002
linear,40,59.305000000000007,0.42360000000000003
linear,41,60.800000000000004,0.42600000000000005
linear,42,62.295000000000002,0.4284
linear,43,63.790000000000006,0.43080000000000002
linear,44,65.285000000000011,0.43320000000000003
linear,45,66.780000000000001,0.43559999999999999
linear,46,68.275000000000006,0.438
linear,47,69.77000000000001,0.44040000000000001
linear,48,71.265000000000001,0.44280000000000003
linear,49,72.760000000000005,0.44520000000000004
linear,50,74.25500000000001,0.4476
linear,51,75.75,0.45000000000000001
linear,52,77.245000000000005,0.45240000000000002
linear,53,78.740000000000009,0.45479999999999998
linear,54,80.234999999999999,0.45720000000000005
linear,55,81.730000000000004,0.45960000000000001
linear,56,83.225000000000009,0.46200000000000002
linear,57,84.719999999999999,0.46440000000000003
linear,58,86.215000000000003,0.46679999999999999
linear,59,87.710000000000008,0.46920000000000006
linear,60,89.205000000000013,0.47160000000000002
linear,61,90.700000000000003,0.47399999999999998
linear,62,92.195000000000007,0.47640000000000005
linear,63,93.690000000000012,0.4788
linear,64,95.185000000000002,0.48120000000000002
linear,65,96.680000000000007,0.48360000000000003
linear,66,98.175000000000011,0.48599999999999999
linear,67,99.670000000000002,0.48840000000000006
linear,68,101.16500000000001,0.49080000000000001
linear,69,102.66000000000001,0.49320000000000003
linear,70,104.155,0.49560000000000004
linear,71,105.65000000000001,0.498
linear,72,107.14500000000001,0.50040000000000007
linear,73,108.64000000000001,0.50280000000000002
linear,74,110.13500000000001,0.50519999999999998
linear,75,111.63000000000001,0.50760000000000005
linear,76,113.12500000000001,0.51000000000000001
linear,77,114.62,0.51239999999999997
linear,78,116.11500000000001,0.51480000000000004
linear,79,117.61000000000001,0.5172000000000001
linear,80,119.105,0.51960000000000006
linear,81,120.60000000000001,0.52200000000000002
